"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Lafayette College","https://www.lafayette.edu/","Easton","Pennsylvania","NCAA",1,"Patriot League","Patrick Myers",66496,"Medium",2742,"None"
"LaGrange College","https://www.lagrange.edu/","LaGrange","Georgia","NCAA",3,"USA South Athletic Conference","Carter Brand",34540,"Small",562,"Methodist"
"Lake Erie College","https://www.lec.edu/","Painesville","Ohio","NCAA",2,"Great Midwest Athletic Conference","Sam Ashton",36032,"Small",678,"None"
"Lake Forest College","https://www.lakeforest.edu/","Lake Forest","Illinois","NCAA",3,"Midwest Conference","Phil Dodson",53300,"Small",1764,"None"
"Lander University","https://www.lander.edu/","Greenwood","South Carolina","NCAA",2,"Peach Belt Conference","Anthony LePore",21300,"Medium",3220,"None"
"Lasell University","https://www.lasell.edu/","Newton","Massachusetts","NCAA",3,"Great Northeast Athletic Conference","Dieter Treusdell",43134,"Small",1226,"None"
"Lawrence Technological University","https://ltu.edu/","Southfield","Michigan","NAIA","","Wolverine-Hoosier Athletic Conference","Shane Lewandowski",43410,"Small",1592,"None"
"Le Moyne College","https://www.lemoyne.edu/","Syracuse","New York","NCAA",2,"Northeast-10 Conference","Dan Sheehan",40656,"Medium",2185,"Catholic"
"Lebanon Valley College","https://www.lvc.edu/","Annville","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","John Haus",52120,"Small",1587,"Methodist"
"Lees-McRae College","https://www.lmc.edu/","Banner Elk","North Carolina","NCAA",2,"Conference Carolinas","John Grant, Jr.",31140,"Small",795,"Presbyterian"
"Lehigh University","https://www.lehigh.edu/","Bethlehem","Pennsylvania","NCAA",1,"Patriot League","Will Scudder",66810,"Medium",5925,"None"
"Lenoir-Rhyne University","https://www.lr.edu/","Hickory","North Carolina","NCAA",2,"South Atlantic Conference","Greg Paradine",44200,"Small",1310,"Lutheran"
"Lewis University","https://www.lewisu.edu/index.htm","Romeoville","Illinois","NCAA",2,"Great Lakes Valley Conference","Joe Perruzzi",38800,"Medium",3154,"Catholic"
"Lincoln Memorial University","https://www.lmunet.edu/","Harrogate","Tennessee","NCAA",2,"South Atlantic Conference","Joe Wilson",26150,"Small",1268,"None"
